"datazone","avg_median_price"
"S01000001",138981.651376147
"S01000002",194977.272727273
"S01000003",144579.761904762
"S01000004",142969.696969697
"S01000005",149298.076923077
"S01000006",164418.181818182
"S01000007",253329.3125
"S01000008",142136.363636364
"S01000009",192000.023255814
"S01000010",139804.347826087
"S01000011",374342.105263158
"S01000012",267481.719298246
"S01000013",168364.864864865
"S01000014",155050.797101449
"S01000015",143672.666666667
"S01000016",429672.923076923
"S01000017",155847.657142857
"S01000018",135154.365384615
"S01000019",275128.205128205
"S01000020",183968.260869565
"S01000021",143867.647058824
"S01000022",411486.111111111
"S01000023",338076.923076923
"S01000024",360995.208333333
"S01000025",400458.352941176
"S01000026",116079.545454545
"S01000027",287777.777777778
"S01000028",135510.869565217
"S01000029",461878.048780488
"S01000030",122250
"S01000031",253039.130434783
"S01000032",140904.255319149
"S01000033",102365.972222222
"S01000034",416388.957746479
"S01000035",142028.301886792
"S01000036",135833.176470588
"S01000037",127400
"S01000038",136681.818181818
"S01000039",130795.454545455
"S01000040",141447.916666667
"S01000041",164620.434782609
"S01000042",134002.857142857
"S01000043",127172.619047619
"S01000044",129828.333333333
"S01000045",259144.930232558
"S01000046",301405.264705882
"S01000047",137487.5
"S01000048",240789.473684211
"S01000049",282519.230769231
"S01000050",224447.444444444
"S01000051",252013.157894737
"S01000052",106846.153846154
"S01000053",188142.857142857
"S01000054",292735.344827586
"S01000055",124959.25
"S01000056",320474.166666667
"S01000057",104461.538461538
"S01000058",311868.253968254
"S01000059",278706.934306569
"S01000060",73560
"S01000061",237256.756756757
"S01000062",132882.132075472
"S01000063",272074.136363636
"S01000064",114114.744186047
"S01000065",149180.555555556
"S01000066",82503.1578947368
"S01000067",226451.127819549
"S01000068",223892.045454545
"S01000069",85327.2727272727
"S01000070",102333.333333333
"S01000071",93078.125
"S01000072",255135.135135135
"S01000073",330931.170212766
"S01000074",82083.3333333333
"S01000075",161211.516129032
"S01000076",276973.882352941
"S01000077",255294.068627451
"S01000078",82963.1147540984
"S01000079",174859.667673716
"S01000080",134922.625698324
"S01000081",315331.460674157
"S01000082",90162.1621621622
"S01000083",197148.138297872
"S01000084",86022.8604651163
"S01000085",115432.186440678
"S01000086",140170.32967033
"S01000087",281018.105263158
"S01000088",182276.902439024
"S01000089",352017.395833333
"S01000090",146520.370967742
"S01000091",124504.363636364
"S01000092",127913.371727749
"S01000093",194175.572519084
"S01000094",158512.360902256
"S01000095",139311.594202899
"S01000096",145500
"S01000097",348670.542635659
"S01000098",136194.375
"S01000099",361398.829787234
"S01000100",148438.572815534
"S01000101",251044.709302326
"S01000102",127164.634146341
"S01000103",151188.814159292
"S01000104",407439.783783784
"S01000105",227983.870967742
"S01000106",506603.773584906
"S01000107",122837.44966443
"S01000108",150458.806818182
"S01000109",129188.768115942
"S01000110",312978.044444444
"S01000111",228021.148148148
"S01000112",124379.304347826
"S01000113",260619.290322581
"S01000114",160525.773195876
"S01000115",115784.689655172
"S01000116",118525.675675676
"S01000117",259942.018691589
"S01000118",193190.015384615
"S01000119",122328.534482759
"S01000120",117044.444444444
"S01000121",307842.764705882
"S01000122",118953.703703704
"S01000123",222755.102040816
"S01000124",110740.384615385
"S01000125",117015.151515152
"S01000126",99649.5145631068
"S01000127",300101.666666667
"S01000128",139517.816326531
"S01000129",116398.979591837
"S01000130",167179.019607843
"S01000131",135178.393258427
"S01000132",153197.990196078
"S01000133",116578.947368421
"S01000134",104860
"S01000135",102352.571428571
"S01000136",125000
"S01000137",149727.272727273
"S01000138",146128.318584071
"S01000139",128450
"S01000140",145611.111111111
"S01000141",237439.642857143
"S01000142",118184.210526316
"S01000143",326916.666666667
"S01000144",124176.470588235
"S01000145",121428.571428571
"S01000146",114012.987012987
"S01000147",141487.366863905
"S01000148",101794.411764706
"S01000149",114509.178082192
"S01000150",121766.666666667
"S01000151",116199.9
"S01000152",191021.327586207
"S01000153",148670.435555556
"S01000154",134400.421052632
"S01000155",125500
"S01000156",96274.9176470588
"S01000157",89726
"S01000158",159825.56097561
"S01000159",228115.10989011
"S01000160",122631.451612903
"S01000161",151325.652173913
"S01000162",119817.629032258
"S01000163",122040
"S01000164",110936.85483871
"S01000165",117119.38028169
"S01000166",125009.891472868
"S01000167",134526.315789474
"S01000168",125066.176470588
"S01000169",158892.857142857
"S01000170",119018.867924528
"S01000171",237247.706422018
"S01000172",112411.764705882
"S01000173",124257.8125
"S01000174",289956.764705882
"S01000175",134824.933333333
"S01000176",124990.716049383
"S01000177",173051.546391753
"S01000178",115839.285714286
"S01000179",94416.6666666667
"S01000180",128020
"S01000181",107249.142857143
"S01000182",119833.333333333
"S01000183",103768.205128205
"S01000184",203913.835616438
"S01000185",139023.80952381
"S01000186",142028.935483871
"S01000187",116500
"S01000188",106524.24137931
"S01000189",104111.111111111
"S01000190",127910.256410256
"S01000191",227071.162790698
"S01000192",117307.333333333
"S01000193",120163.034482759
"S01000194",105312.5
"S01000195",99027.7777777778
"S01000196",113755.529411765
"S01000197",118625
"S01000198",109774.608695652
"S01000199",74075.8095238095
"S01000200",112461.538461538
"S01000201",112585.97826087
"S01000202",115086.378947368
"S01000203",69500
"S01000204",115132.866666667
"S01000205",165365.853658537
"S01000206",120548.387096774
"S01000207",70868.4210526316
"S01000208",76500
"S01000209",87114
"S01000210",89676.4705882353
"S01000211",77625
"S01000212",114814.634146341
"S01000213",105215.384615385
"S01000214",146555.555555556
"S01000215",280687.5
"S01000216",147765.306122449
"S01000217",101156.25
"S01000218",139692.307692308
"S01000219",108533.333333333
"S01000220",115641.025641026
"S01000221",109191.489361702
"S01000222",132608.695652174
"S01000223",134733.333333333
"S01000224",159382.744186047
"S01000225",168574.074074074
"S01000226",157289.915492958
"S01000227",192725.345744681
"S01000228",111243.47826087
"S01000229",123918.918918919
"S01000230",134122.413793103
"S01000231",120793.103448276
"S01000232",140109.375
"S01000233",128903.846153846
"S01000234",131286.75
"S01000235",162370.37037037
"S01000236",185520
"S01000237",189671.875
"S01000238",127478.260869565
"S01000239",188625
"S01000240",161046.428571429
"S01000241",285502.777777778
"S01000242",148550.814814815
"S01000243",212723.909090909
"S01000244",136728.971962617
"S01000245",164362.65
"S01000246",177266.914285714
"S01000247",192692.307692308
"S01000248",162214.567164179
"S01000249",211216.441176471
"S01000250",216951.219512195
"S01000251",222031.25
"S01000252",144182.795698925
"S01000253",210863.636363636
"S01000254",185186.607142857
"S01000255",123175.902777778
"S01000256",195323.529411765
"S01000257",173407.407407407
"S01000258",161398.230769231
"S01000259",190269.538461538
"S01000260",171026.041666667
"S01000261",176178.301886792
"S01000262",187737.319148936
"S01000263",187549.393939394
"S01000264",135383.928571429
"S01000265",128890.243902439
"S01000266",221905.172413793
"S01000267",132220.3125
"S01000268",150391.025641026
"S01000269",231542.857142857
"S01000270",182295.918367347
"S01000271",184707.692307692
"S01000272",184256.034482759
"S01000273",105952.054794521
"S01000274",139183.673469388
"S01000275",195242.605633803
"S01000276",238831.447368421
"S01000277",165573.818181818
"S01000278",118637.466666667
"S01000279",218348.076923077
"S01000280",215645.294117647
"S01000281",199927.166666667
"S01000282",180407.407407407
"S01000283",233984.375
"S01000284",306542.173913043
"S01000285",232812.888888889
"S01000286",137114.367816092
"S01000287",241811.96969697
"S01000288",162961
"S01000289",138758.333333333
"S01000290",131548.72972973
"S01000291",275394.736842105
"S01000292",220972.727272727
"S01000293",150354.252631579
"S01000294",207769.230769231
"S01000295",205778.260869565
"S01000296",232159.074074074
"S01000297",216814.814814815
"S01000298",230107.594936709
"S01000299",312540
"S01000300",279400
"S01000301",234344.827586207
"S01000302",368329.045454545
"S01000303",275523.80952381
"S01000304",242622.641509434
"S01000305",174427.272727273
"S01000306",366858.566037736
"S01000307",184299.216216216
"S01000308",235774.653061224
"S01000309",334233.766233766
"S01000310",181657.38028169
"S01000311",158249.838709677
"S01000312",204431.538461538
"S01000313",197179.95
"S01000314",148535.714285714
"S01000315",269588.235294118
"S01000316",220897.288135593
"S01000317",167009.95
"S01000318",279666.666666667
"S01000319",182339.622641509
"S01000320",130761.978494624
"S01000321",264310.344827586
"S01000322",254043.859649123
"S01000323",234285.714285714
"S01000324",196789.473684211
"S01000325",230473.675675676
"S01000326",163801.6
"S01000327",185698.142857143
"S01000328",144551.282051282
"S01000329",219576.19
"S01000330",337361.70212766
"S01000331",205080.818181818
"S01000332",235909.722222222
"S01000333",543214.285714286
"S01000334",166618.541666667
"S01000335",226315.777777778
"S01000336",293605.204081633
"S01000337",255065.217391304
"S01000338",286480.615384615
"S01000339",298803.03030303
"S01000340",344452.972972973
"S01000341",235013.157894737
"S01000342",173290.322580645
"S01000343",323058.823529412
"S01000344",239120.433962264
"S01000345",181034.482758621
"S01000346",197950.509803922
"S01000347",307934.248175182
"S01000348",182947.368421053
"S01000349",172437.094339623
"S01000350",271020.434782609
"S01000351",186911.298969072
"S01000352",203890.596491228
"S01000353",224450.980392157
"S01000354",242066.085271318
"S01000355",213446.3
"S01000356",279103.658536585
"S01000357",204047.619047619
"S01000358",246662.075471698
"S01000359",350196
"S01000360",187114.090909091
"S01000361",304182.285714286
"S01000362",193173.555555556
"S01000363",263568.428571429
"S01000364",277042.857142857
"S01000365",243645.594262295
"S01000366",247484.554913295
"S01000367",239826.764705882
"S01000368",222910.215053763
"S01000369",199880.363636364
"S01000370",212779.661016949
"S01000371",192105.263157895
"S01000372",180629.461538462
"S01000373",186316.326530612
"S01000374",181175
"S01000375",141591.379310345
"S01000376",137259.259259259
"S01000377",209466.5
"S01000378",215466.666666667
"S01000379",284696.96969697
"S01000380",238802.34375
"S01000381",227069.298245614
"S01000382",250200
"S01000383",225124.649006623
"S01000384",181740.64516129
"S01000385",159090.909090909
"S01000386",206460.227272727
"S01000387",189541.666666667
"S01000388",258753.680555556
"S01000389",219245.285714286
"S01000390",128306.451612903
"S01000391",140329.15942029
"S01000392",221060.061728395
